variable_id,observation_period,observation_period_type,observation_year,observation_quarter,bar_demand_tonnes,official_coin_demand_tonnes,medals_imitation_coin_tonnes,total_bar_and_coin_tonnes,named_country_total_tonnes,other_and_stock_change_tonnes,world_total_bar_and_coin_sheet_tonnes,unit,source_name,source_workbook,source_publication_date,download_date,workbook_sha256,ingested_at,parser_version,underlying_providers,is_revised,prior_workbook_sha256,prior_total_bar_and_coin_tonnes,revision_reason,validation_status,availability_status,anomaly_notes
L0-005,Q3'12,quarterly,2012,3,,,,307.92178634,284.20322899,23.80236295,308.00559194,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q4'12,quarterly,2012,4,,,,379.77651187,350.53854173,29.5826765,380.12121823,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,2013,annual,2013,,1272.52488536,341.99875837,118.5109557,1733.03459943,1655.37450169,78.0152532,1733.38975489,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q1'13,quarterly,2013,1,,,,446.60093532,425.6811515,20.99010472,446.67125622,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q2'13,quarterly,2013,2,,,,601.75562894,579.83750508,22.12720909,601.96471417,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q3'13,quarterly,2013,3,,,,326.34768326,309.04795869,17.37547391,326.4234326,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q4'13,quarterly,2013,4,,,,358.33035191,340.80788642,17.52246548,358.3303519,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,2014,annual,2014,,775.00801538,205.46215862,80.64262742,1061.11280142,1018.30742659,42.80537483,1061.11280142,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q1'14,quarterly,2014,1,,,,291.42261989,283.49362931,7.92899058,291.42261989,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
L0-005,Q2'14,quarterly,2014,2,,,,247.36914442,235.13705881,12.23208561,247.36914442,metric_tonnes,WGC_GDT,GDT_Tables_Q2'26_EN.xlsx,2026-08-07,2026-08-18,32f3c7c795b3ce83be9e3bbd53b27da97218d446d40d63b4ecdce7d214a1a687,2026-08-19T03:15:44Z,1.0.0,Metals Focus; Refinitiv GFMS; ICE Benchmark Administration; World Gold Council,False,,,,PASS,AVAILABLE,
