variable_id,country,panel,gold_share_of_reserves,holdings_tonnes,holdings_as_of,unit,source_file,source_publication_date,download_date,ingested_at,validation_status,availability_status,parser_version
L5-002,Singapore,left,0.0590137400521412,203.68750583185593,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.866324+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Azerbaijan, Rep. of8)",left,0.317563267014647,178.1,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.866376+00:00,PASS,AVAILABLE,1.1.0
L5-002,Iraq,left,0.2313899243524501,174.61354234704987,2025-11-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.866598+00:00,PASS,AVAILABLE,1.1.0
L5-002,Algeria,left,0.3357770347648294,173.55603247177382,2026-05-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.866705+00:00,PASS,AVAILABLE,1.1.0
L5-002,Brazil,left,0.0607315903615042,172.44498531926195,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.866787+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Venezuela, Republica Bolivariana de",left,0.9153055952412938,161.22049080899507,Jun 2018,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.866852+00:00,PASS,AVAILABLE,1.1.0
L5-002,Libya,left,0.1861255809023935,146.6517371154863,2026-04-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.866939+00:00,PASS,AVAILABLE,1.1.0
L5-002,Philippines,left,0.164858646170443,133.51727650772915,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.867046+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Egypt, Arab Rep. of",left,0.3201801157342029,129.66764921775373,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.867141+00:00,PASS,AVAILABLE,1.1.0
L5-002,Sweden,left,0.2222834754329588,125.71926223134584,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.867240+00:00,PASS,AVAILABLE,1.1.0
L5-002,South Africa,left,0.2192830359644184,125.53264284159123,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.867634+00:00,PASS,AVAILABLE,1.1.0
L5-002,Mexico,left,0.0572738637115608,120.04396420065473,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.867890+00:00,PASS,AVAILABLE,1.1.0
L5-002,Qatar,left,0.2749871518643192,115.23309106385524,2026-05-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.868082+00:00,PASS,AVAILABLE,1.1.0
L5-002,Greece,left,0.6515476813963926,114.73982146745047,2026-04-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.868224+00:00,PASS,AVAILABLE,1.1.0
L5-002,Hungary,left,0.2071113007033256,110.01213026033405,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.868363+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Korea, Rep. of",left,0.0310902629554619,104.44677475039657,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.868464+00:00,PASS,AVAILABLE,1.1.0
L5-002,Romania,left,0.1563706676826666,103.62041616123916,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.868549+00:00,PASS,AVAILABLE,1.1.0
L5-002,Indonesia,left,0.0774343598755381,87.08904855214456,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.868709+00:00,PASS,AVAILABLE,1.1.0
L5-002,Czech Rep.,left,0.0594310206067657,82.42872694472956,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.868786+00:00,PASS,AVAILABLE,1.1.0
L5-002,Australia,left,0.152082159683766,79.87309881496688,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.868862+00:00,PASS,AVAILABLE,1.1.0
L5-002,Kuwait,left,0.2095592088962131,78.97729796895898,2026-05-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.868935+00:00,PASS,AVAILABLE,1.1.0
L5-002,Jordan,left,0.3788491139603344,78.72469770769183,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.869008+00:00,PASS,AVAILABLE,1.1.0
L5-002,United Arab Emirates,left,0.0352088254157384,74.96364793995303,2026-04-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.869082+00:00,PASS,AVAILABLE,1.1.0
L5-002,Denmark,left,0.0679785137363358,66.54847438648876,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.869152+00:00,PASS,AVAILABLE,1.1.0
L5-002,Pakistan,right,0.2988200079124011,64.82323122764456,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.870033+00:00,PASS,AVAILABLE,1.1.0
L5-002,Argentina,right,0.1789029731247137,61.73873938602221,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.870138+00:00,PASS,AVAILABLE,1.1.0
L5-002,Cambodia,right,0.2941005594170204,57.300927302587795,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.870327+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Serbia, Rep. of",right,0.2094123124562049,54.56480399765046,2026-06-30 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.870463+00:00,PASS,AVAILABLE,1.1.0
L5-002,"Belarus, Rep. of4)",right,0.4937173863197012,53.90812105377749,2026-05-31 00:00:00,fraction,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-30,2026-08-30T10:08:33.870563+00:00,PASS,AVAILABLE,1.1.0
