variable_id,country,holdings_tonnes,unit,source_file,source_publication_date,download_date,workbook_sha256,ingested_at,validation_status,availability_status,parser_version
L0-002,Lebanon,286.8340020528133,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333411+00:00,PASS,AVAILABLE,1.0.0
L0-002,Spain,281.57755590805886,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333437+00:00,PASS,AVAILABLE,1.0.0
L0-002,Austria,280.0534975583963,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333462+00:00,PASS,AVAILABLE,1.0.0
L0-002,Thailand,234.518366458275,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333487+00:00,PASS,AVAILABLE,1.0.0
L0-002,Belgium,227.39572641597462,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333512+00:00,PASS,AVAILABLE,1.0.0
L0-002,Singapore,203.68750583185593,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333538+00:00,PASS,AVAILABLE,1.0.0
L0-002,"Azerbaijan, Rep. of8)",178.1,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333564+00:00,PASS,AVAILABLE,1.0.0
L0-002,Iraq,174.61354234704987,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333590+00:00,PASS,AVAILABLE,1.0.0
L0-002,Algeria,173.55603247177382,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333615+00:00,PASS,AVAILABLE,1.0.0
L0-002,Brazil,172.44498531926195,metric_tonnes,World_official_gold_holdings_as_of_Aug2026_IFS.xlsx,2026-08-20,2026-08-20,5d33b938e25b0fb3fd3c37462ad120c8db678e90cc27a47fc22dae1bce7b5d82,2026-08-21T01:02:59.333641+00:00,PASS,AVAILABLE,1.0.0
